** Do not manually edit this file! **

MAXLEVEL 50

LEVEL 1
	ID ID NB ID ID ID NB ID ID ID NB ID ID 
	ID SS NB NB T5 NB SS NB T5 NB NB SS ID 
	ID ID NB ID ID ID NB ID ID ID NB ID ID 
	ID NB SF NB ID NB NB SF ID NB SF NB ID 
	ID ID NB ID ID ID NB ID ID ID NB ID ID 
	ID NB NB SF ID NB SF NB ID SF NB NB ID 
	ID ID NB ID ID ID NB ID ID ID NB ID ID 
	ID NB SF NB ID SF NB NB ID NB SF NB ID 
	ID ID NB ID ID ID NB ID ID ID NB ID ID 
	ID SF NB NB ID NB SF NB ID NB NB SF ID 
	ID ID NB ID ID ID NB ID ID ID NB ID ID 

LEVEL 2
	ID ID IF NB NB RB NB RB NB NB IF ID ID 
	ID SF IF NB NB NB RB NB NB NB IF SF ID 
	ID SS IF NB YB NB RB NB YB NB IF SS ID 
	ID SF IF YB AB PB PB PB AB YB IF SF ID 
	ID SS IF NB PB AB RB AB PB NB IF SS ID 
	ID SF IF RB PB RB AB RB PB RB IF SF ID 
	ID SS IF NB PB AB RB AB PB NB IF SS ID 
	ID SF IF YB AB PB PB PB AB YB IF SF ID 
	ID SS IF NB YB NB RB NB YB NB IF SS ID 
	ID SF IF NB NB NB RB NB NB NB IF SF ID 
	ID ID IF NB NB RB NB RB NB NB IF ID ID 

LEVEL 3
	ID ID ID ID ID ID ID ID ID ID ID ID ID 
	ID IF IF IF IF AB IF AB IF IF IF IF ID 
	ID AB AB AB AB ID IF ID AB AB AB AB ID 
	ID IF IF IF IF ID IF ID IF IF IF IF ID 
	ID AB AB AB AB ID IF ID AB AB AB AB ID 
	ID IF IF IF IF ID IF ID IF IF IF IF ID 
	ID AB AB AB AB ID IF ID AB AB AB AB ID 
	ID IF IF IF IF ID IF ID IF IF IF IF ID 
	ID ID NB SS ID ID IF ID ID SS NB ID ID 
	ID RB T5 T5 SF ID IF ID SF T5 T5 RB ID 
	ID ID NB SS ID NB SF NB ID SS NB ID ID 

LEVEL 4
	ID ID ID IF ID ID IF ID ID IF ID ID ID 
	ID RB RB IF RB RB IF RB RB IF RB RB ID 
	ID RB YB IF ID YB IF YB ID IF YB RB ID 
	ID RB YB AB ID ID AB ID ID AB YB RB ID 
	ID RB B1 IF B2 ID B3 ID B4 IF B5 RB ID 
	ID RB YB IF ID ID YB ID ID IF YB RB ID 
	ID RB YB YB ID YB YB YB ID YB YB RB ID 
	ID AB YB AB RB AB RB AB RB AB YB AB ID 
	ID IF ID IF ID IF ID IF ID IF ID IF ID 
	ID IF ID IF ID IF ID IF ID IF ID IF ID 
	ID IF ID IF ID IF ID IF ID IF ID IF ID 

LEVEL 5
	AB IF IF NB NB ID B5 ID NB NB IF IF AB 
	IF IF IF NB OF ID ID ID ON NB IF IF IF 
