** Do not manually edit this file! **

MAXLEVEL 50

LEVEL 1
	IF IF ID AB IF IF ID IF IF IF ID AB ID 
	IF ID RB ID IF ID RB ID IF ID RB ID ID 
	CB CB NB NB NB NB NB NB NB NB CB CB ID 
	CB ID NB B1 NB ID NB B2 NB ID NB CB ID 
	ID RB ID NB ID RB ID NB ID RB ID NB ID 
	SB NB NB NB NB NB NB NB NB NB NB NB ID 
	SB NB ID AB B3 NB ID NB B4 NB ID AB ID 
	SB ID RB ID NB ID RB ID NB ID RB ID ID 
	SB CB NB NB NB NB NB NB NB NB NB CB ID 
	SB ID NB NB NB ID B5 NB NB ID NB NB ID 
	ID RB ID BB ID RB ID BS ID RB ID BB ID 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 

LEVEL 2
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 
	NB NB NB NB NB NB NB NB NB NB NB NB NB 

LEVEL 3
	ID B1 B2 B3 B4 B5 ID B5 B4 B3 B2 B1 ID 
	IF NB NB IF NB NB TB NB NB IF NB NB IF 
	NB RB NB ID NB NB NB NB NB ID NB RB NB 
	NB PB AB NB CB NB F2 NB CB NB AB PB NB 
	IF NB BS NB NB NB FO NB NB NB BS NB IF 
	ID NB NB BB NB RB ID RB NB BB NB NB ID 
